Name|Species|Status|Locations
Brutus, Summa Rudis|Unknown|Unknown|[Clash of Might](../flavour/14-heavy-hitters.md#clash-of-might---hvy137),[Tenacity](../flavour/14-heavy-hitters.md#tenacity---hvy211)
Miss Q|Unknown|Unknown|[Cut the Deck](../flavour/14-heavy-hitters.md#cut-the-deck---hvy106)
Countess Camilla|Unknown|Unknown|[Goblet of Bloodrun Wine](../flavour/14-heavy-hitters.md#goblet-of-bloodrun-wine---hvy133)
Beezy the Brash|Human|Dead|[Nasty Surprise](../flavour/14-heavy-hitters.md#nasty-surprise---hvy207)
Fightmaster Kox|Goblin|Unknown|[Smashing Performance](../flavour/12-bright-lights.md#smashing-performance---evo237),[Pint of Strong and Stout](../flavour/14-heavy-hitters.md#pint-of-strong-and-stout---hvy089),[Smashback Alehorn](../flavour/14-heavy-hitters.md#smashback-alehorn---hvy044),[Rhinar short story](../short-stories/14-heavy-hitters/rhinar.md),[Thirst For Revenge](../main-story/14-heavy-hitters/thirst-for-revenge.md),[Untamed and Unbroken](../main-story/14-heavy-hitters/untamed-and-unbroken.md),[Bloodied Sands](../main-story/14-heavy-hitters/bloodied-sands.md),[Kassai's Diary](../short-stories/14-heavy-hitters/kassais-diary.md),[Insult To Injury](../flavour/19-compendium-of-rathe.md#insult-to-injury---pen303)
Luca, Arena Cicerone|Human|Alive|[Pound Town](../flavour/14-heavy-hitters.md#pound-town---hvy035),[Roll of Honor: Rhinar](../short-stories/roll-of-honour/rhinar.md)
Brewmeister Marv|Human|Unknown|[Slap-Happy](../flavour/14-heavy-hitters.md#slap-happy---hvy180)
Dunric Vargas|Human|Unknown|[Take the Upper Hand](../flavour/14-heavy-hitters.md#take-the-upper-hand---hvy112)
Bolfar|Human|Unknown|[Wage Might](../flavour/14-heavy-hitters.md#wage-might---hvy149)
Morga, Grinning Boar Cantina Barmaid|Human|Unknown|[Wage Vigot](../flavour/14-heavy-hitters.md#wage-vigor---hvy189),[Feudmasters](../main-story/19-super-slam/feudmasters.md)
Giantslayer Crix|Human|Unknown|[Wall of Meat and Muscle](../flavour/14-heavy-hitters.md#wall-of-meat-and-muscle---hvy142)
Hog|Human|Dead|[A Bird in the Hand](../main-story/02-arcane-rising/a-bird-in-the-hand.md),[Victor short story](../short-stories/14-heavy-hitters/victor.md)
Fayyad|Human|Alive|[Thirst For Revenge](../main-story/14-heavy-hitters/thirst-for-revenge.md), [Bloodied Sands](../main-story/14-heavy-hitters/bloodied-sands.md)
Alif|Human|Alive|[Thirst For Revenge](../main-story/14-heavy-hitters/thirst-for-revenge.md), [Bloodied Sands](../main-story/14-heavy-hitters/bloodied-sands.md)
Sada|Sorceress|Alive|[Thirst For Revenge](../main-story/14-heavy-hitters/thirst-for-revenge.md), [Bloodied Sands](../main-story/14-heavy-hitters/bloodied-sands.md)
Hank|Human|Alive|[Deathmatch Wrecking Ball](../main-story/14-heavy-hitters/deathmatch-wrecking-ball.md)
Ebba|Human|Alive|[Deathmatch Wrecking Ball](../main-story/14-heavy-hitters/deathmatch-wrecking-ball.md)
Marcus 'Mauler' Monroe|Human|Alive|[Deathmatch Wrecking Ball](../main-story/14-heavy-hitters/deathmatch-wrecking-ball.md)
Demetrios|Brute|Dead|[Another Day, Another Title](../main-story/14-heavy-hitters/another-day-another-title.md)
Dervin, Master of Beasts|Human|Unknown|[Untamed and Unbroken](../main-story/14-heavy-hitters/untamed-and-unbroken.md)
Yarin|Human|Unknown|[Untamed and Unbroken](../main-story/14-heavy-hitters/untamed-and-unbroken.md)
Ning, Kotori Moonseeker|Human|Unknown|[Emissary of Moon](../flavour/15-part-the-mistveil.md#emissary-of-moon---mst197)
Anhe, Kotori Wavebender|Human|Unknown|[Emissary of Tides](../flavour/15-part-the-mistveil.md#emissary-of-tides---mst198)
Dan Lu, Kotori Galewarden|Human|Unknown|[Emissary of Wind](../flavour/15-part-the-mistveil.md#emissary-of-wind---mst199), [Emissary of Wind digital tile](../digital-tiles/15-part-the-mistveil/part-the-mistveil.md#emissary-of-wind)
Kouki|Human|Unknown|[First Tenet of Chi: Moon](../flavour/15-part-the-mistveil.md#first-tenet-of-chi-moon---mst092), [Second Tenet of Chi: Moon](../flavour/15-part-the-mistveil.md#second-tenet-of-chi-moon---mst081), [Part 2: The Tapestry Unfolds](../main-story/15-part-the-mistveil/part-2-the-tapestry-unfolds.md), [Part 4: The Hare and the Snake](../main-story/15-part-the-mistveil/part-4-the-hare-and-the-snake.md), [Orihon Of Mystic Tenets digital tile](../digital-tiles/15-part-the-mistveil/part-the-mistveil.md#orihon-of-mystic-tenets)
Shio|Human|Unknown|[First Tenet of Chi: Tide](../flavour/15-part-the-mistveil.md#first-tenet-of-chi-tide---mst093), [Second Tenet of Chi: Tide](../flavour/15-part-the-mistveil.md#second-tenet-of-chi-tide---mst082), [First Tenet Of Chi Tide digital tile](../digital-tiles/15-part-the-mistveil/part-the-mistveil.md#first-tenet-of-chi-tide)
Sumire|Human|Unknown|[First Tenet of Chi: Wind](../flavour/15-part-the-mistveil.md#first-tenet-of-chi-wind---mst094), [Second Tenet of Chi: Wind](../flavour/15-part-the-mistveil.md#second-tenet-of-chi-wind---mst083)
Soren|Human|Unknown|[Moon Chakra](../flavour/15-part-the-mistveil.md#moon-chakra---mst034)
Tohiro, Eternal Scribe|Human|Unknown|[Orihon of Mystic Tenets](../flavour/15-part-the-mistveil.md#orihon-of-mystic-tenets---mst080)
Gudo, Mistward Pilgrim|Human|Unknown|[Siren's Call](../flavour/15-part-the-mistveil.md#sirens-call---mst009)
Miku|Human|Unknown|[Tide Chakra](../flavour/15-part-the-mistveil.md#tide-chakra---mst011)
Hirei|Human|Unknown|[Wind Chakra](../flavour/15-part-the-mistveil.md#wind-chakra---mst054)
Seto of Miharu|Human|Alive|[Part 1: The Tiger in the Mist](../main-story/15-part-the-mistveil/part-1-the-tiger-in-the-mist.md)
Toroja of Ishigaki|Human|Dead|[Part 1: The Tiger in the Mist](../main-story/15-part-the-mistveil/part-1-the-tiger-in-the-mist.md)
Satsuki|Human|Alive|[Part 1: The Tiger in the Mist](../main-story/15-part-the-mistveil/part-1-the-tiger-in-the-mist.md), [Part 3: The Serpent's Strike](../main-story/15-part-the-mistveil/part-3-the-serpents-strike.md)
Bojani|Human|Dead|[Part 3: The Serpent's Strike](../main-story/15-part-the-mistveil/part-3-the-serpents-strike.md)
Reina, Spirit Caller|Human|Unknown|[Unravel Aggression](../flavour/15-part-the-mistveil.md#unravel-aggression---mst078)
Amir|Human|Unknown|[Bloodied Sands](../main-story/14-heavy-hitters/bloodied-sands.md)
General Chul|Human|Unknown|[Bloodied Sands](../main-story/14-heavy-hitters/bloodied-sands.md),[Kassai's Diary](../short-stories/14-heavy-hitters/kassais-diary.md)
Ozrim|Rosetta|Unknown|[Roots of Change](../main-story/16-rosetta/roots-of-change.md), [Essence of Decay](../main-story/16-rosetta/essence-of-decay.md),[Seeds of Renewal](../main-story/16-rosetta/seeds-of-renewal.md),[Blossoming Decay](../flavour/16-rosetta.md#blossoming-decay---ros049)
Xin|Human|Unknown|[Bonds Of Agony digital tile](../digital-tiles/15-part-the-mistveil/part-the-mistveil.md#bonds-of-agony)
Master Udo|Human|Unknown|[Maul digital tile](../digital-tiles/15-part-the-mistveil/part-the-mistveil.md#maul)
Kazuo|Human|Dead|[Spillover digital tile](../digital-tiles/15-part-the-mistveil/part-the-mistveil.md#spillover)
Shiro|Human|Alive|[To Halt the Dark](../main-story/16-rosetta/to-halt-the-dark.md)
Jing|Human|Alive|[Edge of Autumn](../main-story/03-crucible-of-war/edge-of-autumn.md), [To Halt the Dark](../main-story/16-rosetta/to-halt-the-dark.md)
Xilin|Human|Dead|[Edge of Autumn](../main-story/03-crucible-of-war/edge-of-autumn.md), [To Halt the Dark](../main-story/16-rosetta/to-halt-the-dark.md)
Kalsharpe|Human|Unknown|[Battle of Isenloft](../main-story/16-rosetta/battle-of-isenloft.md)
Synveri|Human|Unknown|[Battle of Isenloft](../main-story/16-rosetta/battle-of-isenloft.md)
Syberys|Wizard|Unknown|[Battle of Isenloft](../main-story/16-rosetta/battle-of-isenloft.md)
Lieutenant Li|Human|Unknown|[Mark of a Traitor](../main-story/17-the-hunted/mark-of-a-traitor.md)
Kayat|Illusionist|Dead|[Mark of a Traitor](../main-story/17-the-hunted/mark-of-a-traitor.md),[Children of Chaos](../main-story/17-the-hunted/children-of-chaos.md)
General Yamatoka|Human|Alive|[Mark of a Traitor](../main-story/17-the-hunted/mark-of-a-traitor.md),[Cleanse the Corruption](../main-story/17-the-hunted/cleanse-the-corruption.md)
Lord Merchant Savai|Human|Dead|[Ember in the Ash](../main-story/09-dynasty/ember-in-the-ash.md),[Cleanse the Corruption](../main-story/17-the-hunted/cleanse-the-corruption.md),[Hunter and Hunted Both](../main-story/17-the-hunted/hunter-and-hunted-both.md)
Tetzuo|Human|Alive|[Cleanse the Corruption](../main-story/17-the-hunted/cleanse-the-corruption.md),[Rake Over the Coals](../flavour/17-the-hunted.md#rake-over-the-coals---hnt156)
General Riku|Human|Dead|[Betrayal](../main-story/08-uprising/betrayal.md),[Dragons of Empire](../main-story/08-uprising/dragons-of-empire.md),[Fires of Rebellion](../main-story/08-uprising/fires-of-rebellion.md),[Ember in the Ash](../main-story/09-dynasty/ember-in-the-ash.md),[Tidings in the Light](../main-story/10-outsiders/tidings-in-the-light.md),[Cleanse the Corruption](../main-story/17-the-hunted/cleanse-the-corruption.md),[Children of Chaos](../main-story/17-the-hunted/children-of-chaos.md)
Lord Wizard Chiyo|Wizard|Dead|[From the Ashes](../main-story/02-arcane-rising/from-the-ashes.md),[Smoke and Mirrors](../main-story/02-arcane-rising/smoke-and-mirrors.md),[Ember in the Ash](../main-story/09-dynasty/ember-in-the-ash.md),[Cleanse the Corruption](../main-story/17-the-hunted/cleanse-the-corruption.md),[Hunter and Hunted Both](../main-story/17-the-hunted/hunter-and-hunted-both.md),[Children of Chaos](../main-story/17-the-hunted/children-of-chaos.md)
Kaysin|Maela Soothsayer|Unknown|[Felling of the Crown](../flavour/16-rosetta.md#felling-of-the-crown---ros031),[Trouble in Larinkmorth](../main-story/18-high-seas/trouble-in-larinkmorth.md)
Seraphina|Human|Unknown|[Lightning Form](../flavour/16-rosetta.md#lightning-form---ros082)
Aurelius|Horse||[Victor Goldmane](../short-stories/roll-of-honour/victor-goldmane.md)
Duke Drexen|Human||[Victor Goldmane](../short-stories/roll-of-honour/victor-goldmane.md)
Min of the Forest of Flames|Human||[Betrayal](../main-story/08-uprising/betrayal.md),[Dragons of Empire](../main-story/08-uprising/dragons-of-empire.md),
Taka|Human|Alive|[No Smoke Without Fire](../main-story/03-crucible-of-war/no-smoke-without-fire.md)
Lady Vera Sutcliffe|Human|Unknown|[Nebula Blade](../weapons/nebula-blade.md)
Captain Juka|Human|Unknown|[Display Loyalty](../flavour/17-the-hunted.md#display-loyalty---hnt060)
Vail the Vagrant|Human|Unknown|[Den of the Spider](../flavour/17-the-hunted.md#den-of-the-spider---hnt214)
Sayashi Cara|Human|Unknown|[For the Dracai](../flavour/17-the-hunted.md#for-the-dracai---hnt158),[Hot on Their Heels](../flavour/17-the-hunted.md#hot-on-their-heels---hnt067)
Magistrate Chen|Human|Unknown|[For the Realm](../flavour/17-the-hunted.md#for-the-realm---hnt160)
Sidriz|Wizard|Unknown|[Splinter Soul](../main-story/17-the-hunted/splinter-soul.md)
Hyrinth|Diviner|Unknown|[Splinter Soul](../main-story/17-the-hunted/splinter-soul.md)
Juice|Human|Unknown|[Boom Town Boom](../main-story/17-the-hunted/boom-town-boom.md)
Feral|Human|Unknown|[Boom Town Boom](../main-story/17-the-hunted/boom-town-boom.md)
Chum|Zombie|Dead|[Captain Bones and the City of Gold](../main-story/18-high-seas/captain-bones-and-the-city-of-gold.md)
Moray Le Fay|Zombie Sea Witch|Dead|[Captain Bones and the City of Gold](../main-story/18-high-seas/captain-bones-and-the-city-of-gold.md)
Cutty|Zombie|Dead|[Captain Bones and the City of Gold](../main-story/18-high-seas/captain-bones-and-the-city-of-gold.md)
Limpit|Zombie|Dead|[Captain Bones and the City of Gold](../main-story/18-high-seas/captain-bones-and-the-city-of-gold.md)
Scooba|Zombie Dog|Dead|[Captain Bones and the City of Gold](../main-story/18-high-seas/captain-bones-and-the-city-of-gold.md)
Swabbie|Zombie|Dead|[Captain Bones and the City of Gold](../main-story/18-high-seas/captain-bones-and-the-city-of-gold.md)
Wailer|Zombie|Dead|[Captain Bones and the City of Gold](../main-story/18-high-seas/captain-bones-and-the-city-of-gold.md)
Riggermortis|Zombie|Dead|[Captain Bones and the City of Gold](../main-story/18-high-seas/captain-bones-and-the-city-of-gold.md)
Nailbit Nari|Human|Unknown|[Captain Bones and the City of Gold](../main-story/18-high-seas/captain-bones-and-the-city-of-gold.md),[Gold Hunter Marauder](../flavour/18-high-seas.md#gold-hunter-marauder---sea164)
Hightarn|Witch|Dead|[Captain Bones and the City of Gold](../main-story/18-high-seas/captain-bones-and-the-city-of-gold.md)
Shelly|Zombie|Dead|[Captain Bones and the City of Gold](../main-story/18-high-seas/captain-bones-and-the-city-of-gold.md)
Kelpie|Zombie|Dead|[Captain Bones and the City of Gold](../main-story/18-high-seas/captain-bones-and-the-city-of-gold.md)
Meldrick Sudds|Human|Alive|[The Lost Treasure of Blackwater Strait](../main-story/18-high-seas/the-lost-treasure-of-blackwater-strait.md)
Polly Cranka|Parrot|Alive|[The Lost Treasure of Blackwater Strait](../main-story/18-high-seas/the-lost-treasure-of-blackwater-strait.md)
Knuckles|Human|Dead|[The Lost Treasure of Blackwater Strait](../main-story/18-high-seas/the-lost-treasure-of-blackwater-strait.md)
Buttons|Human|Alive|[The Lost Treasure of Blackwater Strait](../main-story/18-high-seas/the-lost-treasure-of-blackwater-strait.md)
Jigsaw|Human|Alive|[The Lost Treasure of Blackwater Strait](../main-story/18-high-seas/the-lost-treasure-of-blackwater-strait.md)
Magpie|Human|Alive|[The Lost Treasure of Blackwater Strait](../main-story/18-high-seas/the-lost-treasure-of-blackwater-strait.md)
Grota|Human|Alive|[The Lost Treasure of Blackwater Strait](../main-story/18-high-seas/the-lost-treasure-of-blackwater-strait.md)
Pelorus|Human|Alive|[The Lost Treasure of Blackwater Strait](../main-story/18-high-seas/the-lost-treasure-of-blackwater-strait.md)
Captain Moody|Human|Dead|[The Lost Treasure of Blackwater Strait](../main-story/18-high-seas/the-lost-treasure-of-blackwater-strait.md)
Captain Cooder of the Swiftwater / Warden Cooder|Human|Unknown|[Marlynn](../heroes-of-rathe/marlynn-about.md),[Swiftwater Sloop](../flavour/18-high-seas.md#swiftwater-sloop---sea166),[Graystone Penitentiary](../world-of-rathe/high-seas/graystone-penitentiary.md)
Pearl Sandhri|Human|Alive|[A Kraken Good Tale](../main-story/18-high-seas/a-kraken-good-tale.md),[Murderous Rabble](../flavour/18-high-seas.md#murderous-rabble---sea137),[Kraken's Barrel](../world-of-rathe/high-seas/port-conniver.md#krakens-barrel)
Governor Practiss|Human|Unknown|[A Kraken Good Tale](../main-story/18-high-seas/a-kraken-good-tale.md)
Slinger|Human|Alive|[A Kraken Good Tale](../main-story/18-high-seas/a-kraken-good-tale.md)
Wheeler|Human|Alive|[A Kraken Good Tale](../main-story/18-high-seas/a-kraken-good-tale.md)
Quarrel|Human|Alive|[A Kraken Good Tale](../main-story/18-high-seas/a-kraken-good-tale.md)
Molly the Mop|Human|Alive|[A Kraken Good Tale](../main-story/18-high-seas/a-kraken-good-tale.md)
Sticky Fingers|Octopus|Alive|[Scurv](../heroes-of-rathe/scurv-about.md)
Captain Vanegull|Human|Unknown|[Avast Ye!](../flavour/18-high-seas.md#avast-ye---sea056),[Battalion Barque](../flavour/18-high-seas.md#battalion-barque---sea152)
Swiller Saltbeard|Human|Unknown|[Battalion Barque](../flavour/18-high-seas.md#battalion-barque---sea152)[Expedition to Blackwater Strait](../flavour/18-high-seas.md#expedition-to-blackwater-strait---sea156),[Teramundr's Brood](../world-of-rathe/high-seas/teramundrs-triangle.html#teramundrs-brood)
Captain Rue|Human|Unknown|[Puffin](../heroes-of-rathe/puffin-about.md),[Board the Ship](../flavour/18-high-seas.md#board-the-ship---sea053)
Ray Stingeye|Human|Unknown|[Expedition to Azuro Keys](../flavour/18-high-seas.md#expedition-to-azuro-keys---sea155)[Gold Hunter Lightsail](../flavour/18-high-seas.md#gold-hunter-lightsail---sea162)
Captain Klow|Human|Unknown|[Expedition to Horizon's Mantle](../flavour/18-high-seas.md#expedition-to-horizons-mantle---sea158),[Gold Hunter Longboat](../flavour/18-high-seas.md#gold-hunter-longboat---sea163)
Captain Grit Jabir|Human|Unknown|[Gold Hunter Ketch](../flavour/18-high-seas.md#gold-hunter-ketch---sea165)
Mutinous Maggie|Human|Unknown|[Walk the Plank](../flavour/18-high-seas.md#walk-the-plank---sea235)
Cirrus|Human|Unknown|[Piper's Pier](../world-of-rathe/high-seas/pipers-pier.md)
Braumeister Balen|Human|Unknown|[Valda](../heroes-of-rathe/valda-about.md),[Trouble in Larinkmorth](../main-story/18-high-seas/trouble-in-larinkmorth.md)
Einar|Human|Unknown|[Trouble in Larinkmorth](../main-story/18-high-seas/trouble-in-larinkmorth.md)
Tomass|Human|Unknown|[Trouble in Larinkmorth](../main-story/18-high-seas/trouble-in-larinkmorth.md)
Widow Johana|Human|Unknown|[Trouble in Larinkmorth](../main-story/18-high-seas/trouble-in-larinkmorth.md)
Lilja|Human|Unknown|[Trouble in Larinkmorth](../main-story/18-high-seas/trouble-in-larinkmorth.md)
Kossen|Human|Unknown|[Trouble in Larinkmorth](../main-story/18-high-seas/trouble-in-larinkmorth.md)
Tiril|Human|Unknown|[Trouble in Larinkmorth](../main-story/18-high-seas/trouble-in-larinkmorth.md)
Hildegun|Human|Unknown|[Trouble in Larinkmorth](../main-story/18-high-seas/trouble-in-larinkmorth.md)
Biski|Dog|Unknown|[Trouble in Larinkmorth](../main-story/18-high-seas/trouble-in-larinkmorth.md)
Farin the Porter|Human|Unknown|[Trouble in Larinkmorth](../main-story/18-high-seas/trouble-in-larinkmorth.md)
Fightmaster Rusty|Dwarf|Unknown|[Feudmasters](../main-story/19-super-slam/feudmasters.md),[Destination Deathmatch](../world-of-rathe/deathmatch/destination-deathmatch.md)
Slapstick Sal|Unknown|Unknown|[Feudmasters](../main-story/19-super-slam/feudmasters.md)
Speakeasy|Unknown|Unknown|[Feudmasters](../main-story/19-super-slam/feudmasters.md),[Destination Deathmatch](../world-of-rathe/deathmatch/destination-deathmatch.md),[Super Slam Season is Here](../world-of-rathe/deathmatch/super-slam-season-is-here.md)
Batbiter|Unknown|Unknown|[Feudmasters](../main-story/19-super-slam/feudmasters.md),[Destination Deathmatch](../world-of-rathe/deathmatch/destination-deathmatch.md),[Hulk Up](../flavour/19-compendium-of-rathe.md#hulk-up---pen293)
Moloca|Unknown|Unknown|[Feudmasters](../main-story/19-super-slam/feudmasters.md),[Destination Deathmatch](../world-of-rathe/deathmatch/destination-deathmatch.md)
Emeviere|Unknown|Unknown|[Feudmasters](../main-story/19-super-slam/feudmasters.md)
Mad Siv|Unknown|Unknown|[Destination Deathmatch](../world-of-rathe/deathmatch/destination-deathmatch.md)
Blind Boggy|Unknown|Unknown|[Destination Deathmatch](../world-of-rathe/deathmatch/destination-deathmatch.md)
Maela Fairmind|Unknown|Unknown|[Future Sight](../flavour/19-compendium-of-rathe.md#future-sight---pen117)
Karalyn|Unknown|Unknown|[Glyph Power Spell](../flavour/19-compendium-of-rathe.md#glyph-power-spell---pen113)
Alosyn|Human|Unknown|[Skybreaker](../world-of-rathe/aria/the-land-of-legends.md#skybreaker)
Narakir|Welkin|Unknown|[Skybreaker](../world-of-rathe/aria/the-land-of-legends.md#skybreaker)
Charlotte|Dogg|Unknown|[A Sprawling Metropolis](../world-of-rathe/metrix/a-sprawling-metropolis.md)
Anarch Zeir|Human|Unknown|[L'Apocalypta](../world-of-rathe/pits/blackjacks-mercenary-group.md)
